,airline_sentiment,text,label
8472,positive, JetBlue T5Sparrow Love it They re cute,1
8473,neutral, JetBlue There s a large family of birds inside T5 Are they fed Are they there for a purpose ,0
8474,neutral, JetBlue sure thing ,0
8475,neutral, JetBlue works with Google chrome but not Internet Explorer ,0
8476,negative, JetBlue I was believing you for a minute but we just got delayed for a 3rd time ,2
8477,neutral, JetBlue If there s a schedule change on my tix can you change the the destination airport to a sister airport like EWR and JFK ,0
8478,negative, Jetblue Delay Perfect time to learn Swift programming with TeamTreehouse,2
8479,neutral, JetBlue Statement on Lufthansa Incentive Offer Digital Journal http t co GqP69g9ZGW,0
8480,positive, JetBlue the best airline in the world,1
8481,positive, JetBlue I would go anywhere JetBlue goes ,1
8482,neutral, JetBlue ANYWHERE http t co FeFHPmFPlE,0
8483,positive, JetBlue wow you guys answer people wow you care I love jet blue,1
8484,positive, JetBlue thanks I appreciate your prompt response ,1
8485,negative, JetBlue I put it my to and from airports click update and it tells me to put in my to and from airports ,2
8486,negative, JetBlue Why doesn t your Best Fare Finder work ,2
8487,neutral, JetBlue To DC this summer and help local youth get ready to return to school with math refresher courses FlyItForward,0
8488,positive, JetBlue good luck Thanks ,1
8489,positive,It really is nice though The snack fridge that you can just get up and take stuff out like a dorm common room is genius JetBlue,1
8490,neutral,Currently on JetBlue my new robotic love doll Reminded heavily of pattonoswalt s bit about them hence an excuse to say huxleyesque ,0
8491,negative, JetBlue third JetBlue flight in less than a week All Late Flight not for weather Reliability going downhill ,2
8492,neutral, JetBlue I have many allergies and want to know if I can bring an 8oz bottle of Benadryl on the flight along with my 2 epipens ,0
8493,negative, JetBlue This is how you have me feeling http t co esUu0hiAjM,2
8494,negative, JetBlue why is the buffalo flight so Late Flight ,2
8495,neutral, JetBlue anywhere away from this snow globe to warmth sand and palm trees ,0
8496,negative, JetBlue u suck Big Donkey Balls ,2
8497,neutral, JetBlue any good deals for March Looking to fly to Orlando ,0
8498,positive, JetBlue if I tell you I like that warriors pick will that get me that bump to first class ,1
8499,neutral, JetBlue jetblue sofly wish firststari seetonight http t co pyJAoayNx6,0
8500,negative, jetblue waiting for flt 105 to Chicago Why hasn t aircraft left buffalo yet ,2
8501,negative, JetBlue I don t think I ll be testing those waters out on my own dime again ,2
8502,negative, JetBlue C mon now My flight s delayed annnnnd you can t give me a pick I m about to tweet at united or Delta ,2
8503,negative, JetBlue Flight is 100 full ,2
8504,neutral, JetBlue client is asking if kids need their own email addresses to get TB acct Is this true ,0
8505,negative, JetBlue Walked down the hall to Carousel 8 found all bags sitting there Still no words from crew signage still not updated,2
8506,negative, JetBlue Headphone jack not working on my flight ,2
8507,neutral, JetBlue It s absolute madness in the west but tell me who you like between memgrizz warriors spurs and okcthunder,0
8508,negative, JetBlue Tried considerable confusion no announcement no sign updates,2
8509,negative, JetBlue JetBlueBOS What s up with luggage for Flt 790 DCA BOS Pax waiting for 30 min for bags no show Carousel 6 signs not updating ,2
8510,neutral, JetBlue Thx for the pointer but Im good with the big monitor Any advice on who I should pick to come our of the Western Conf NBA ,0
8511,negative, JetBlue I had 2 fight 2 get a credit for the value of my bag but I got it skytrax jetblue corpgreed nevertakeno http t co 6MBVJFlpBM,2
8512,neutral, JetBlue Airways Corporation JBLU loses 0 06 on news that JetBlue Airways WallStreet Scope http t co oFW4A8b5WS,0
8513,negative, JetBlue They did not have any amp asked if I wanted tea How do you have tea amp not coffee I m a gold on United amp coffee I nvr think 2x about,2
8514,negative, JetBlue ur Wed BWI BOSTON flights 8pm really need to be better scheduled They are almost always delayed ,2
8515,positive, JetBlue I ll pass along the advice You guys rock ,1
8516,negative, JetBlue I d fly to an airline who actually gave a crap about its fliers outside of generic apologies Jet Blue is terrible jetblue,2
8517,neutral, JetBlue 6am Austin to JFK,0
8518,negative, JetBlue the big board says we aren t leaving until after 8 30 ,2
8519,neutral, JetBlue he s sch for 530 tmw on AA would love to find him an earlier one with yall if possible He s in FLL,0
8520,negative, JetBlue while I appreciate that you actually responded I travel way too much for you to tell me coffee is not a basic option,2
8521,negative, JetBlue my dads vacation to SXM got delayed a day because of AmericanAir shoddy service Earliest FLL gt SXM flight trying to hep him out,2
8522,negative, JetBlue I did not report the updated info don t know how to reach them without a super long wait on hold at your main number ,2
8523,positive, JetBlue I can t say what airline I am on right now but I sincerely miss you bestairline,1
8524,negative, JetBlue Whoa No tag and you still saw my tweet Flight 105 JFK to Chicago Trying to get home to see my little brother wrestle ,2
8525,neutral, JetBlue Airways Corporation Price Target Update Stafford Daily http t co vQmdmZaFUJ,0
8526,neutral, JetBlue I would go to Italy to visit my relatives and see the house my dad left when he passed ,0
8527,neutral, JetBlue I d go to Australia to enjoy the land down under Always been on my bucket list FlyingItForward,0
8528,neutral, JetBlue hi Is it possible to upgrade to a Mint seat on an already booked ticket Thanks ,0
8529,neutral, JetBlue Left my coat on flight 453 this morning in overhead bin Reported seat 12A but I was 11A Thx Ticket 2792125083854,0
8530,neutral, JetBlue my daughter s college game in Denver Only one set of parents will be there ,0
8531,positive, JetBlue ok I ll book JB to JFK then book to ATH Thank you ,1
8532,neutral, JetBlue need flight to ATH from PDX Do you coordinate with other airlines ,0
8533,negative, JetBlue so why do you put this at the bottom of ur baggage report For fun JetBlue airlinequality skytrax http t co tU9JX2jaZN,2
8534,negative, JetBlue if u want to be helpful save me the trip from Westchester Cty to JFK plus parking my info is in the photo http t co JI7xkS2jkk,2
8535,positive, JetBlue Yes That s true but they are a bit pricey I will look into it further Love you guys ,1
8536,negative, JetBlue I am heading to JFK now just on principle alone to deal w my lost amp damaged bag jetblue jetbluesucks jfk badservice fail,2
8537,negative, JetBlue u now have my gears grinding The JFK baggage office told me I need to bring the bag back right now if not they will close my claim,2
8538,neutral, JetBlue do you sell open tickets I have a sick relative and may have to travel at a moments notice Sad but true ,0
8539,positive, JetBlue I flew to San Francisco from Fort Lauderdale with you last year had a fantastic time so would like to go back ,1
8540,negative, JetBlue U say our safety is our highest priority but that doesn t extend 2 our property This is totally nuts http t co xZY7pHKFGR,2
8541,neutral, JetBlue to allow payment by Apple Pay Patriarc http t co bdUaUZFhW2,0
8542,positive, JetBlue My FlyingItForward affects just one small family of four but it would make a huge difference in their life ,1
8543,negative, JetBlue glad u happy I have my bag but as a traveler I entrusted u w my property amp u return it damaged amp that s the best answer u have ,2
8544,neutral, JetBlue I d go to Portsmouth NH to take care of my friend s son while she takes her daughter to Boston for surgery flyingitforward,0
8545,negative, JetBlue is the worst I have to postpone my trip and they can t accommodate guests like SouthwestAir NeverAgain,2
8546,positive, JetBlue Hawaii Get me somewhere warm amp I can find some good to do FlyItForward,1
8547,positive, JetBlue thx for confirming Again yr team is awesome Thanks for the prompt amp helpful response Cheers to less snow in everyone s future,1
8548,negative, JetBlue PR friendly tweets don t help drive accountability Hope Mr Hayes takes note ,2
8549,positive, JetBlue What a great idea cometoAustin,1
8550,positive, JetBlue I would go to Las Vegas It is gorgeous and I go there every year and I fly with you guys Vegas is gorgeous amp so much to do there ,1
8551,neutral, JetBlue I like Marie Harf go to Iraiq find ISIS and spread good and offer resume service to ISIS in order to find jobs marieharf,0
8552,neutral, JetBlue FlyingItForward I d fly to Port au Prince Haiti to help with the on going earthquake relief efforts Still lots to do there ,0
8553,positive, JetBlue just DMed thanks so much for addressing this so quickly ,1
8554,positive, JetBlue Done Also looks like you opened some up on my flight to Vegas on Sunday ,1
8555,neutral, JetBlue Says Lufthansa Incentive Offer To Have No Impact On Share Count Nasdaq http t co VU7XSWJKiY,0
8556,negative, JetBlue Only wish your ground operation was as expedient as your Twitter response team Delay just got extended ,2
8557,negative, JetBlue only w 70 upgrade Unsure why she can t just switch someone around I called 24 hrs in advance for this reason ,2
8558,neutral, JetBlue can you DM ,0
8559,negative, JetBlue keeps asking me to enter a valid email address My info is saved and has worked hundreds of times before,2
8560,neutral, JetBlue is the trueblue site broken at the moment ,0
8561,neutral, JetBlue Any EMS window seats on 1099 tomorrow ,0
8562,neutral, JetBlue Airways Corporation Registers High Short Interest Wall Street Pulse http t co hXSnv7fbbh,0
8563,neutral, JetBlue any chance you will by this summer ,0
8564,neutral, JetBlue do you have mint service from NYC to San Diego ,0
8565,negative, JetBlue can t change it True blue points and I can t get to a phone,2
8566,neutral, JetBlue my mom wanted me to change her seat along with my sister but their two different reservations and idk,0
8567,positive, JetBlue Aw okay thanks,1
8568,neutral, JetBlue I can t pay 30 bucks xD,0
8569,positive, JetBlue BEST SEAT ON A E190 to board early READY SET GO ,1
8570,neutral, JetBlue is it true there s a new A320 livery and a new website ,0
8571,negative, JetBlue should ve been on one of your flights instead SouthwestAir has now lost our bags to add insult to injury,2
8572,positive, JetBlue I m all set About to fly Not bad for a first date with a giant metal bird machine She even brought snacks ,1
8573,negative, JetBlue I m trying to add my 2012 flights to my Badges account but i don t see an option Help plz ,2
8574,positive, JetBlue okay The new screens are laptop large amp real nice amp the wifi is appreciated Thanks god for this tiny lil man in the middle seat ,1
8575,negative, JetBlue I cheated on you and I m sorry I ll never do it again SouthwestAir has given my wife and I the worst start to a honeymoon ever,2
8576,neutral, JetBlue this feels nice what we ve got going on here Let s just swap me out with the fool in 5a and we can make it all better ,0
8577,neutral, JetBlue yes but it hurt my feelings to walk by MINT A fella can dream happy4them,0
8578,neutral, JetBlue pilyoc dont talk about my friend JetBlue like that thefutureisweird,0
8579,positive, JetBlue incidentally Sheila at JFK deserves a raise because she s awesome ,1
8580,neutral, JetBlue I d like to spread my grandpa s ashes in Naples Italy he lived in the 50 s while serving his 30 yrs in the USNavy FlyItForward,0
8581,positive, JetBlue i deleted that tweet because one of your wonderful employees swooped in to help faith restored You are one of the good ones ,1
8582,neutral, JetBlue Statement on Lufthansa Incentive Offer Stockhouse http t co obF9jbPc6A,0
8583,negative, JetBlue lots of people scratching heads and looking at screens ignoring passengers,2
8584,neutral, JetBlue I thought the same thing after I sent it,0
8585,negative, JetBlue what s going on with 1171 LGA FLL poor to no communication from gate agents ,2
8586,negative, JetBlue FYI your android app is set to not be applicable with the Nexus 6 please fix its a phone not a tablet Cheers ,2
8587,neutral, JetBlue order FARE 3 3 ,0
8588,negative, JetBlue our FoodAllergy community IF you want our continued loyalty you need to do better than that Perhaps some training is in 2 3 ,2
8589,negative, JetBlue insensitive FoodAllergies are life threatening Unsolicited UNEDUCATED opinions are inappropriate reckless amp dangerous to 1 3 ,2
8590,neutral, JetBlue Thanks for the FB message telling me I will have to wait between 1 3 days I m waiting ,0
8591,neutral, JetBlue Airways Sees Significant Decline in Short Interest JBLU WKRB News http t co lZFGUTxIYN,0
8592,neutral, JetBlue plans to offer direct flights from JFK to DaytonaBeach Florida starting next February http t co oYLlRZQU5m,0
8593,neutral, JetBlue Thank you for opening the conversation I hope you can make it right ,0
8594,neutral, JetBlue When I checked yesterday it looked like it did Did something change ,0
8595,negative, JetBlue Oh no I thought it did ,2
8596,neutral, JetBlue s CEO battles to appease passengers and Wall Street Waterbury Republican American http t co 5t4FpCGREJ,0
8597,neutral, JetBlue 1951 BOS to ORD,0
8598,positive, JetBlue thanks Line moved quick Already done ,1
8599,neutral, JetBlue I do follow you ,0
8600,negative, JetBlue nope None to be found,2
8601,negative, JetBlue I may need to I had a 40 minute layover and now have a 15 min delay on my first flight ,2
8602,negative, JetBlue I may not make my connection and need to find out my options yet no one is here ,2
8603,neutral, JetBlue nope Currently sitting at my gate ,0
8604,positive, JetBlue their names are both Angel seriously how cool is that Truly FANTASTIC service ,1
8605,negative, JetBlue extra speed line closed in Tampa What gives ,2
8606,neutral, JetBlue I sent you an email,0
8607,positive, JetBlue thank you ,1
8608,positive, JetBlue thanks ,1
8609,positive, JetBlue also Emergency exit seats 6 2 and that s a huge win ,1
8610,positive, JetBlue friendly engaging personable handled clarifying questions about baggage fees well and took an interest in what I was doing ,1
8611,neutral, JetBlue so I don t know confirmation number or the names of the flight attendants and supervisor,0
8612,negative, JetBlue would love to respond to link but supervisor tore ticket up and refused to give me names and hid her badge from me,2
8613,positive, JetBlue hey so Dre at Seatac check in needs a raise stat Dude gave me amazing customer service and made me feel valued ,1
8614,negative, JetBlue you respond to my friend LisaPal but you can t respond directly to me,2
8615,neutral, JetBlue s CEO pilots among ardent fans Wall Street Poughkeepsie Journal http t co FRhuXiB8II,0
8616,positive, JetBlue The Magic eight ball has never steered me wrong ,1
8617,negative, JetBlue you wanna help out How about you reimburse the money you cause my band to lose ,2
8618,negative, JetBlue but you guys should know that musicians are very sensitive about the safety of their instruments when flying For good reason ,2
8619,negative, JetBlue ask j beatz247 but I teach marketing at a university and will gladly consult on customer service and how NOT to treat passengers ,2
8620,negative, JetBlue loves to respond to positive tweets but they ignore problems w customers Just ask NOLA musician j beatz247 about that shameful,2
8621,neutral, JetBlue I m game if you re buying ,0
8622,positive, JetBlue Will do Thanks ,1
8623,positive, JetBlue marks 15th year with new Bluemanity plane design Sun Sentinel http t co SjVEelween,1
8624,negative, JetBlue Call was not made by the inflight crew They in fact asked us why we didn t bring it on ,2
8625,negative, JetBlue last week I bought a plane ticket round trip to FL amp just 4 fun I look at the price of them today and they went down nothappy,2
8626,positive, JetBlue you re welcome http t co 67k4N9eQ6E,1
8627,neutral, JetBlue are you ever looking for interns ,0
8628,positive, JetBlue is the greatest airline ever TrueBluePoints jetbluemember,1
8629,positive, JetBlue s free wifi on board is the best thing that s happened since sliced bread,1
8630,negative, JetBlue Only middle seats SFO gt BOS Not fun She keeps getting 10 credits Would much rather have a working TV ,2
8631,negative, JetBlue Disappointed we weren t allowed to bring on an aircraft approved carseat on an empty plane Not cool ,2
8632,positive, JetBlue Beatriz and Susan Gate 4 MCO ,1
8633,positive, JetBlue handled 0xjared s question like social media pros Good practice for when our transportation systems are all run by friendly AIs ,1
8634,negative, JetBlue maybe have a supervisor find out why the international checkin at FTL hasn t moved in 20 minutes yet employees picked up 100 pizza,2
8635,negative, JetBlue Third flight in a row for my wife with her TV not working ,2
8636,positive, JetBlue its a wonderful thing ,1
8637,negative, JetBlue what is a personal email that I can contact I have a complaint that you should know about,2
8638,negative, JetBlue WHAT S UP WITH WEBSITE CAN T ACCESS FLIGHT INFO,2
8639,neutral, JetBlue Just a thought ,0
8640,positive, JetBlue Flight Booking Problems flights for a DC visit for Easter weekend started difficult but ended well with you guys Big fan here ,1
8641,neutral, JetBlue I m getting an it depends vibe Fair enough ,0
8642,positive, JetBlue flyfi thank you Seattle and UDUB here we come cameron roe http t co kbHYM5GkAP,1
8643,positive, JetBlue Cayman Islands I know that bar Wish I was there now ,1
8644,positive, JetBlue had a great flight to Orlando from Hartford a few weeks ago Was great to get out on time and arrive early ,1
8645,neutral, JetBlue to Increase Charter Service to Cuba Travel Agent http t co lYQrb4HCYU,0
8646,positive, JetBlue you guys continue to impress Your crew MCO gate 4helped our family with seat issues professional,1
8647,positive, JetBlue loving the free wifi and legroom SeattleBound,1
8648,negative, JetBlue you are missing the point The flight left an hour Late Flight Why are you allowed to be that Late Flight and still charge me 50 and 10hrs ,2
8649,neutral, JetBlue can I get some more leg room tonight B6 304,0
8650,negative, JetBlue 2nd time flying jetblue this year and my armrest TV controller doesn t work agian and that s the main reason I fly jetblue ,2
8651,negative,It s on me JetBlue That s not what you said last night though ,2
8652,negative, JetBlue Cinnabon the two of you should team up to serve cinnabons on the flights BonsInTheSky,2
8653,positive, JetBlue anything for you flyfi http t co 8jceDiKY9U,1
8654,negative, JetBlue hey you guys remembered lol But now my BOS flights delayed And turn the heat down in T5 it feels hotter than PR ,2
8655,positive, JetBlue thanks,1
8656,neutral, JetBlue Celebrates 15 Year Anniversary With New Livery CNNMoney http t co p7skxZVe1A,0
8657,negative, JetBlue spoken to 2 reps Once I m allowed to check my bag and through the TSA checkpoint I guarantee I will be talking to someone ,2
8658,negative, JetBlue and the 20min line I stood in to drop my bag off ,2
8659,positive, JetBlue credit to you for replying I ll look forward to hopefully one of those 103 on my flight home tonight ,1
8660,positive, JetBlue Great flight as always Thank you to the great crew on flight 475 travel jetblue,1
8661,negative, JetBlue got txt 40min after sched dpt saying plane had just arrived JFK Late Flightr txt w dpt gate change Then 9 04 dpt for 7 40 flight ,2
8662,negative, JetBlue I was not allowed to drop my bag off for my flight that I was running 10min Late Flight for Turns out it left over an hour Late Flight ,2
8663,positive, JetBlue you re killing me now You got me smitten trueblue,1
8664,negative, JetBlue my son left his iPad on flight 1401 from JFK to FLL on Monday I called and left message and have no heard back Seat 25A ,2
8665,positive, JetBlue 4 min response time I m impressed I m in It s official trueblue JetBlue gets social ,1
8666,positive, JetBlue thanks for listening Doesn t mean I don t appreciate you ,1
8667,negative, JetBlue all taken care of Other then the dropped call and the total half hour wait love jetblue,2
8668,positive, JetBlue thank you for incredible customer svc from gate to flight Mint experience is magic ,1
8669,positive,Thanks JetBlue Next up we will see how the slog from JFK to the city goes ,1
8670,neutral, JetBlue Social Media Takes Flight with Fly LikeAGirl What brand lesson can we learn SMM Brand https t co nTGl2WnQVM,0
8671,neutral, JetBlue Lekvhg want to see what the cost would be to change to the 430 flight,0
8672,negative, JetBlue you stood me up last night but I m giving you a second chance I m just a boy tweeting an airline asking them to fly him home ,2
8673,negative, JetBlue waited for 15 min then got disconnect,2
8674,positive, JetBlue and a HUGE thanks to the crew on flight 1348 who flew in to DCA from SJU Monday night in the snow so we could have a plane ,1
8675,negative, JetBlue is I can t make changes on the website am I still charged 25 dollars for using phone,2
8676,positive, JetBlue planning on it Btw excellent service and crew from DCA through SJU into SXM ,1
8677,positive, JetBlue why yes yes it does Great trip down Thanks for the lift ,1
8678,positive, JetBlue hotspot free WiFi makes me happy jfk itsthelittlethings,1
8679,negative, JetBlue your agents at IAD have compounded this problem by not making any announcements jetbluemess,2
8680,negative, JetBlue just a heads up this page no longer exists http t co NsJWVTTjGo,2
8681,neutral, JetBlue deal ,0
8682,neutral, JetBlue drwinston001 I think we ll need a selfie as proof ,0
8683,negative, JetBlue philpete wonder if that s the pilot tweeting you back Is it legal to tweet and fly What if the plane in front stops suddenly ,2
8684,positive, JetBlue gorgeous day hope the flight back tomorrow AM is just as pleasant Thanks,1
8685,negative, JetBlue they say they have no update I don t work I don t get paid Jet blue has my money but no flight Argh ,2
8686,negative, JetBlue no news here at the gate What are my options ,2
8687,positive, JetBlue it s okay I m actually a tea kinda guy anyway Thanks ,1
8688,negative, JetBlue well I m glad I got up at 5 am so I can sit in an airport No place else I d rather be not ,2
8689,negative, JetBlue no I am guessing I have to call someone,2
8690,negative, JetBlue why 730 and not 645 as scheduled ,2
8691,negative, JetBlue 1408 IAD to JFK still hasn t boarded What s today s excuse and how am I gonna get to work ,2
8692,negative, JetBlue why is t that every time I fly jfk even more speed doesn t work waiting for 10 min nogood,2
8693,neutral, JetBlue can I change my flight if I already printed my boarding pass ,0
8694,positive, JetBlue its always a pleasure ,1
8695,positive, JetBlue this is lovely ,1
8696,neutral, JetBlue Dumps Amex Nassau News Live http t co DZg99JFIiK,0
8697,neutral, JetBlue justdippin drops a new video off the upcoming project TheTakeover produced by YpOnTheBeat https t co IKQBdZA7TN RT,0
8698,neutral, JetBlue to End Partnership with American Express http t co WhuFmI2Ytd http t co fbTEMFwRsP,0
8699,neutral, JetBlue marks 15th birthday with Blumanity paint job Dallas News blog http t co lFGR0Nifut,0
8700,neutral, JetBlue s CEO Battles to Appease Passengers and Wall Street http t co E5NaxBUe4s http t co E1Mex0t6Q5,0
8701,neutral, JetBlue Change in the Air for Travelers Investors BloombergNews http t co 6redD3vC73,0
8702,positive, JetBlue Finally taking off LAS FLL SJU letsgo,1
8703,neutral, JetBlue Anywhere warm cause its freezing in NYC,0
8704,negative, JetBlue Clients got ZERO in 32 years career never thought this was possible 2 suitcases worth thousands of in Italian clothing robbed ,2
8705,neutral, JetBlue flights 1970 1366 and 1552 will fly over after 1 am on your way into BostonLogan mind taking ocean approach so we can sleep ,0
8706,negative, JetBlue not to mention the fact that we paid extra just to fly jetblue thinking it was the most reliable ,2
8707,negative, JetBlue We even went to the airport and were on the phone for hrs and no help at all Everyone said different things ,2
8708,negative, JetBlue People kept saying it was due to weather but there were flights going directly to boston even after our flight ,2
8709,negative, JetBlue I understand but everyone said different things and there was a flight out Late Flightr that night but only one of us got to take it,2
8710,negative, JetBlue disappointed that my flight back to boston from PR was Cancelled Flightled rebooked 4 the next day delayed that one too and no compensation,2
8711,positive, JetBlue great trip today Thanks to the crew flying us home they were fantastic http t co sk6W9XQaQB,1
8712,neutral, JetBlue Celebrates 15 Year Anniversary With New Livery Digital Journal http t co U5HXri6Crx,0
8713,positive, JetBlue awe you guys are great can t wait to travel with you again soon ,1
8714,positive, JetBlue yes Announced we will take off You re on it Thank you ,1
8715,positive, JetBlue Also thanks for your prompt replies I m really impressed and you re not just brushing me off Much appreciated ,1
8716,neutral, JetBlue What about if I booked it through Orbitz My email is correct but there s a middle party ,0
8717,positive, JetBlue it s been a while since I ve angry tweeted an airline Apparently you read my mind before I could bitch Thank you for the credit ,1
8718,neutral, JetBlue it was at JFK airport right now,0
8719,neutral, JetBlue That s pretty nice Are flight credits automatically given after the flight I also wish there were a lounge I could sleep in ,0
8720,positive, JetBlue s ValentinesDay email was on point amp so clever Thanks for being amazing JetBlue loveisintheair http t co DoCmvoTWTI,1
8721,negative, JetBlue She claimed that she did but I was not happy with the way I was treated ,2
8722,negative, JetBlue ripped my suitcase I then was yelled at with attitude from Geraldine your employee at the baggage center Worst airline jetblue,2
8723,negative, JetBlue shout out to the crew on flight 89 headed back to the big apple they kept my glass half full the whole flight jetbluejfk,2
8724,negative, JetBlue That makes sense It sucks though because now I ll be stuck in the airport for 5 hours and Late Flight to my meeting ,2
8725,positive, JetBlue thank you for help and quick response,1
8726,neutral, JetBlue s new CEO seeks the right balance to please passengers and Wall Daily Journal http t co bTb4awQtln,0
8727,neutral, JetBlue flight 705 EWR to FLL,0
8728,neutral, JetBlue KleinErin Hi Know a pastor or homeschool mom who might like SpiritED Have em contact me on Prefundia http t co jRbZLHRW7y,0
8729,neutral, JetBlue don t know if u define that as a ControllableIrregularity,0
8730,negative, JetBlue the gate agent said our original plane got de icing fluid in the engine that created a short so they took the plane out of service,2
8731,positive, JetBlue big shoutout to the crews on 2017 Bos gt jfk amp 486 jfk gt roc amp gate crews at c19 Bos amp 6 jfk Long day of delays made better by them ,1
8732,negative, JetBlue 6 hour delay Supposed to land at 9pm now it s 3am Still not boarding EpicFail,2
8733,positive, Jetblue first airline to use applepay in flight airlines,1
8734,negative, JetBlue I hope your system wasn t hacked cause someone else s passport info was on my reservation amp I couldn t get my boarding pass,2
8735,positive, JetBlue Thanks for having us hang out at Tampa Airport forever today It s really been an awesome experience,1
8736,neutral, JetBlue s new CEO seeks the right balance to please passengers and Wall Alaska Highway News http t co tynchOeLac,0
8737,negative, JetBlue honestly I m glad you didn t Cancelled Flight the flight just that I ll be driving home at 3 4 am now ,2
8738,negative, JetBlue bag just delivered and items have been stolen At first look my Kate spade bag and bottle of spiced rum Wtf ,2
8739,negative, JetBlue I m disappointed my flight was Cancelled Flighted mostly because I was excited to listen to the song I m Blue while flying on JetBlue ,2
8740,positive, JetBlue Leopolds IC No but my friend in the picture Phillip Heller JFK IFC did and he said it was delicious ,1
8741,negative, JetBlue flight delayed 3x and still not taking off on time amp greeting me at my seat yes it s gum amp garbage http t co n9hmcrJChb,2
8742,positive, JetBlue Awesome thanks Thanks for the quick response You guys ROCK ,1
8743,neutral, JetBlue sent,0
8744,positive, JetBlue app just reminded me I will be flying to FLL in 2 weeks ChillyCVZ ThankGoodness mypompanobeach family friends sunshine,1
8745,neutral, JetBlue Sure Email screenshot below Link https t co soiQrN19aj http t co IbVvTzLS4E,0
8746,positive, JetBlue I just wanted to say flight attendant fitz was the best tonight on flight 1326 bwi Bos Great guy and made the flight fantastic ,1
8747,negative, JetBlue bag is supposedly here in Boston,2
8748,neutral, JetBlue Received an invitation to participate in e rewards Is this legit from JetBlue Just double checking bc the site looked different ,0
8749,negative, JetBlue I don t know no one would tell me where they were coming from I would guess so as that s where we had all the changes to flights,2
8750,negative, JetBlue I get Sunday due to weather and ok Monday they re busy but this is crazy,2
8751,neutral, JetBlue I have the emails that they are on their way,0
8752,negative, JetBlue supervisor humiliated us and was uncompromising We were completely blindsided ,2
8753,negative, JetBlue offered to pay for tix at the airport BC we were never told that our reservation didn t go through Was told I could pay 2275 pp ,2
8754,negative, JetBlue right now completely pissed off,2
8755,negative, JetBlue I ve had no shampoo no winter coat no deodorant no flatiron and the rest if my stuff since sat,2
8756,negative, JetBlue my SIL bought tix for us to NYC We were told at the gate that her cc was declined Supervisor accused us of illegal activity ,2
8757,negative, JetBlue dispatcher keeps yelling and hung up on me ,2
8758,negative, JetBlue now when I call it s still at the warehouse and might be going out tonight,2
8759,negative, JetBlue they couldn t do it sun then it was supposed to be mon after 6pm then today from 11 to 3 then from 6 to 8,2
8760,negative, JetBlue flight from DCA to BOS has no heat OhNo BundleUp Leastthebeverageswillbecold,2
8761,neutral, JetBlue yep it s for tomorrow ,0
8762,negative, JetBlue Analystdoc Unfortunately that s not an available option with our current system Sorry guys That s a certain fail Fix it plz ,2
8763,negative, JetBlue received horrible customer service at LAX on 2 11 Reservation Cancelled Flighted without notification despite having confirmation number ,2
8764,negative, JetBlue flight was Cancelled Flighted Do I need to file a claim for the 50 credit I m entitled to per yr bill of rights or will it just be issued ,2
8765,negative, JetBlue Why not just take her info in the beginning and if cut off call back We do that in my medical practice We are frequent flyers ,2
8766,positive, JetBlue is definitely my new favorite airline ,1
8767,positive, JetBlue I will try that Thanks If all else fails I will just do the old fashioned method tomorrow morning ,1
8768,neutral, JetBlue all up to date Can t update via Google play ,0
8769,negative, JetBlue Are there issues with the mobile boarding passes My app keeps crashing when I try accessing Thanks ,2
8770,neutral, JetBlue becomes first airline to accept Apple Pay Future Travel Experience http t co czOr4nyh9n,0
8771,negative, JetBlue well your new baggage fees fare structures and reduced legroom has turned you into every other hated carrier in the US Congrats,2
8772,positive, JetBlue Thank you for your excellent customer service resolved issue quickly ,1
8773,negative, JetBlue yes well they are operating outside of your terminal and targeting vulnerable passengers No better than thieves ,2
8774,negative, JetBlue that s not an option for us So how can we help each other fix this I would ve made the change earlier if given accurate info ,2
8775,negative, JetBlue well now saying our flight is going to be Cancelled Flighted amp that by not changing earlier we missed our chance to get out tomorrow 1 2,2
8776,negative, JetBlue tell your employees that ,2
8777,negative, JetBlue even Citi responded quicker via Twitter when they fail Still on hold hoping no one books the flight JetBlue fail,2
8778,negative, JetBlue ah yes Put the bags on the floor instead of the overhead bin so no one trips safetyfirst sarcasm,2
8779,negative, JetBlue where exactly can I leave a note,2
8780,neutral, JetBlue Accepting Apple Pay Mobile Enterprise http t co Ci5cfrlqBe,0
8781,negative, JetBlue Guys really bad JetBlue fail Someone better call my wife back to get this handled 203 382 3312 while she waits on hold ,2
8782,negative, JetBlue fail My wife on the phone asking to switch flight times In mid switch gets disconnected Now Cancelled Flightled No new time No call back,2
8783,positive, JetBlue That s great Thank you ,1
8784,negative, JetBlue they tried to have us towed Do you think I ll be flying out of your terminal again Risk of 75 fine from corrupt police official,2
8785,neutral, JetBlue selfie on the flight 83 from JFK to Orlando With Supertzar85 http t co QRANZImHTr,0
8786,negative, JetBlue ticket issued whilst delivering your customers ,2
8787,negative, JetBlue understand that but this policy of targeting your passengers is not good for business and should be addressed with security,2
8788,negative,Always been a JetBlue fan but maybe next time I ll fly VirginAmerica for real customer service ,2
8789,positive, JetBlue I agree If only there was a frequent tweeter discount so I could fly to see more friends Tinman2IronMan meggersrocks,1
8790,negative, JetBlue understood but could I go and put myself on the standby list 5 hours prior to my flight ,2
8791,negative, JetBlue the whole plane Hoping for better luck on the return flight Sunday ,2
8792,negative, JetBlue so I m penalized for packing lightly having 1 bag and paying extra for a seat ,2
